ID,Error grading project,Vehicle sprite stops when touching another sprite or another color,Vehicle sprite says something or makes a sound when it stops,Vehicle sprite moves across the stage in a looping fashion
grayscratchencore1,0,0,0,0
grayscratchencore10,0,1,1,1
grayscratchencore11,0,1,1,1
grayscratchencore13,0,1,1,1
grayscratchencore14,0,0,0,0
grayscratchencore15,0,0,0,0
grayscratchencore16,0,1,0,1
grayscratchencore17,0,0,1,1
grayscratchencore18,0,0,0,0
grayscratchencore19,0,0,0,0
grayscratchencore2,0,1,0,1
grayscratchencore20,0,1,1,1
grayscratchencore22,0,0,1,1
grayscratchencore23,0,0,0,0
grayscratchencore24,0,0,0,0
grayscratchencore25,0,0,0,0
grayscratchencore26,0,0,0,0
grayscratchencore27,0,0,0,0
grayscratchencore28,0,0,0,0
grayscratchencore3,0,1,1,1
grayscratchencore4,1,,,
grayscratchencore5,1,,,
grayscratchencore6,0,0,0,0
grayscratchencore7,0,1,1,1
grayscratchencore8,0,0,0,0
grayscratchencore9,0,1,1,1
